,title,price,year,colour,drivetrain,fuel,kilometers,postal_code,date_posted,url
125,Toyota Rav 4 2015,22000.0,2015.0,White,All-wheel drive (AWD),Gasoline,145000.0,ONL6E,2022-07-25,https://www.kijiji.ca/v-cars-trucks/markham-york-region/toyota-rav-4-2015/1626517141
126,2008 TOYOTA RAV4 V6 AWD CERTIFIED EXTRA SNOW TIRES,12990.0,2008.0,Silver,4 x 4,Gasoline,132000.0,L4Y2B8,2022-07-25,https://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2008-toyota-rav4-v6-awd-certified-extra-snow-tires/1623051553
146,2019 Toyota RAV4 LE,31998.0,2019.0,Black,All-wheel drive (AWD),Other,60291.0,L1C3K7,2022-03-27,https://www.kijiji.ca/v-cars-trucks/oshawa-durham-region/2019-toyota-rav4-le/m3510137
147,2018 Toyota RAV4 LE,33888.0,2018.0,Silver,All-wheel drive (AWD),Gasoline,59111.0,K8A7A5,2022-03-27,https://www.kijiji.ca/v-cars-trucks/pembroke/2018-toyota-rav4-le/m3509704
148,"2018 Toyota RAV4 XLE w/ Toyota Safety Sense, Backup Cam, Moonroof",28990.0,2018.0,Silver,Front-wheel drive (FWD),Other,59503.0,N6B1Z2,2022-03-15,https://www.kijiji.ca/v-cars-trucks/london/2018-toyota-rav4-xle-w-toyota-safety-sense-backup-cam-moonroof/m3419588
149,"2019 RAV 4 XLE - private sale - 44,000 kms",36900.0,2019.0,Burgundy,All-wheel drive (AWD),Gasoline,44000.0,L0R1Y0,2022-07-25,https://www.kijiji.ca/v-cars-trucks/st-catharines/2019-rav-4-xle-private-sale-44-000-kms/1626505177
150,2020 Toyota RAV4 XLE,44900.0,2020.0,Grey,All-wheel drive (AWD),Gasoline,28913.0,L1P1Z1,2022-07-25,https://www.kijiji.ca/v-cars-trucks/oshawa-durham-region/2020-toyota-rav4-xle/m4380028
151,2020 Toyota RAV4 LE,37188.0,2020.0,Grey,All-wheel drive (AWD),Gasoline,15684.0,L3R1G9,2022-07-25,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2020-toyota-rav4-le/m4380080
152,"2019 Toyota RAV4 XLE HYBIRD, Reverse Camera, Heated Seats, Bluetoot",38795.0,2019.0,Other,Other,Hybrid-Electric,129870.0,L2G0J6,2022-04-25,https://www.kijiji.ca/v-cars-trucks/st-catharines/2019-toyota-rav4-xle-hybird-reverse-camera-heated-seats-bluetoot/m3702831
153,Toyota Rav4,10000.0,2011.0,Grey,4 x 4,Gasoline,277573.0,M3J2Z3,2022-07-25,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/toyota-rav4/1626489198
